2022-02-13 04:11:41 | root | DEBUG | creating backup "d://backup-2022-02-13" completed successfully
2022-02-13 04:14:03 | root | DEBUG | creating backup in progress "d://backup-2022-02-13"...
2022-02-13 04:14:03 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 04:14:03 | root | INFO | deleting oldest backups in progress "d://System Volume Information"...
2022-02-13 04:14:03 | root | DEBUG | deleting oldest backup "d://System Volume Information" completed successfully
2022-02-13 04:14:03 | root | DEBUG | creating backup "d://backup-2022-02-13" completed successfully
2022-02-13 04:19:44 | root | DEBUG | creating backup in progress "d://backup-2022-02-13"...
2022-02-13 04:19:44 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 04:19:44 | root | INFO | oldest directory in selected parent dir: System Volume Information
2022-02-13 04:19:44 | root | WARNING | directory did not deleted, name of file is not usual for backup filename
2022-02-13 04:19:44 | root | DEBUG | creating backup "d://backup-2022-02-13" completed successfully
2022-02-13 04:21:28 | root | DEBUG | creating backup in progress "d://backup-2022-02-13"...
2022-02-13 04:21:28 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 04:21:28 | root | INFO | oldest directory in selected parent dir: F:\Programs\Repository\Python\GitHub\python-scripts\backup-tool
2022-02-13 04:21:28 | root | WARNING | directory did not deleted, name of directory is not usual for backup filename
2022-02-13 04:21:28 | root | DEBUG | creating backup "d://backup-2022-02-13" completed successfully
2022-02-13 04:21:43 | root | DEBUG | creating backup in progress "d://backup-2022-02-13"...
2022-02-13 04:21:43 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 04:21:43 | root | INFO | oldest directory in selected parent dir: "F:\Programs\Repository\Python\GitHub\python-scripts\backup-tool"
2022-02-13 04:21:43 | root | WARNING | directory did not deleted, name of directory is not usual for backup filename
2022-02-13 04:21:43 | root | DEBUG | creating backup "d://backup-2022-02-13" completed successfully
2022-02-13 04:22:13 | root | DEBUG | creating backup in progress "d://backup-2022-02-13"...
2022-02-13 04:22:13 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 04:22:13 | root | INFO | oldest directory in selected parent dir: "F:\Programs\Repository\Python\GitHub\python-scripts\backup-tool\System Volume Information"
2022-02-13 04:22:13 | root | WARNING | directory did not deleted, name of directory is not usual for backup filename
2022-02-13 04:22:13 | root | DEBUG | creating backup "d://backup-2022-02-13" completed successfully
2022-02-13 04:22:50 | root | DEBUG | creating backup in progress "f://backup-2022-02-13"...
2022-02-13 04:22:50 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 04:22:50 | root | INFO | oldest directory in selected parent dir: "F:\Programs\Repository\Python\GitHub\python-scripts\backup-tool\System Volume Information"
2022-02-13 04:22:50 | root | WARNING | directory did not deleted, name of directory is not usual for backup filename
2022-02-13 04:22:50 | root | DEBUG | creating backup "f://backup-2022-02-13" completed successfully
2022-02-13 04:23:02 | root | DEBUG | creating backup in progress "c://backup-2022-02-13"...
2022-02-13 04:23:02 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 04:23:02 | root | INFO | oldest directory in selected parent dir: "F:\Programs\Repository\Python\GitHub\python-scripts\backup-tool\Documents and Settings"
2022-02-13 04:23:02 | root | WARNING | directory did not deleted, name of directory is not usual for backup filename
2022-02-13 04:23:02 | root | DEBUG | creating backup "c://backup-2022-02-13" completed successfully
2022-02-13 04:24:31 | root | DEBUG | creating backup in progress "c://backup-2022-02-13"...
2022-02-13 04:24:31 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 04:24:31 | root | INFO | oldest directory in selected parent dir: "F:\Programs\Repository\Python\GitHub\python-scripts\backup-tool\Documents and Settings"
2022-02-13 04:24:31 | root | WARNING | directory did not deleted, name of directory is not usual for backup filename
2022-02-13 04:24:31 | root | DEBUG | creating backup "c://backup-2022-02-13" completed successfully
2022-02-13 04:25:10 | root | DEBUG | creating backup in progress "c://backup-2022-02-13"...
2022-02-13 04:25:10 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 04:25:10 | root | INFO | oldest directory in selected parent dir: "c://Documents and Settings"
2022-02-13 04:25:10 | root | WARNING | directory did not deleted, name of directory is not usual for backup filename
2022-02-13 04:25:10 | root | DEBUG | creating backup "c://backup-2022-02-13" completed successfully
2022-02-13 04:25:22 | root | DEBUG | creating backup in progress "c:/backup-2022-02-13"...
2022-02-13 04:25:22 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
2022-02-13 04:25:22 | root | INFO | oldest directory in selected parent dir: "c:/Documents and Settings"
2022-02-13 04:25:22 | root | WARNING | directory did not deleted, name of directory is not usual for backup filename
2022-02-13 04:25:22 | root | DEBUG | creating backup "c:/backup-2022-02-13" completed successfully
2022-02-13 04:29:33 | root | DEBUG | creating backup in progress "c:/users/backup-2022-02-13"...
2022-02-13 04:29:33 | root | INFO | number of backups has been exceeded, current amount is greater than 2, the oldest directory will be deleted
